category,file_name,aviation_score,defence_score,finance_score,power_score
aviation,./articles/aviation/data0.txt,13.5,3.5,0,2.25
aviation,./articles/aviation/data1.txt,10.0,2.0,5.0,1.25
aviation,./articles/aviation/data10.txt,19.5,3.0,0.25,0
aviation,./articles/aviation/data11.txt,25.25,0.5,0.25,0
aviation,./articles/aviation/data12.txt,14.5,0,1.0,0
aviation,./articles/aviation/data13.txt,14.25,0,0,0
aviation,./articles/aviation/data14.txt,24.75,0.25,0,2.25
aviation,./articles/aviation/data15.txt,14.25,0,0.25,1.75
aviation,./articles/aviation/data16.txt,29.0,1.0,0,1.75
aviation,./articles/aviation/data17.txt,19.25,0,0,0
aviation,./articles/aviation/data18.txt,16.25,0,4.0,0
aviation,./articles/aviation/data19.txt,9.5,0,0,0
aviation,./articles/aviation/data2.txt,29.75,1.0,4.25,0.25
aviation,./articles/aviation/data3.txt,28.5,0,0.5,1.0
aviation,./articles/aviation/data4.txt,1.25,5.0,0.5,16.5
aviation,./articles/aviation/data5.txt,18.25,2.5,0.25,4.75
aviation,./articles/aviation/data6.txt,30.0,1.0,5.0,0.25
aviation,./articles/aviation/data7.txt,18.0,1.0,0,0
aviation,./articles/aviation/data8.txt,30.0,1.0,5.0,0.25
aviation,./articles/aviation/data9.txt,7.25,1.5,0,0
defence,./articles/defence/data0.txt,0,0,0,2.0
defence,./articles/defence/data1.txt,0,0,23.25,0
defence,./articles/defence/data10.txt,1.0,0,0,0
defence,./articles/defence/data11.txt,1.5,4.0,1.25,1.0
defence,./articles/defence/data12.txt,0.5,8.0,0,1.25
defence,./articles/defence/data13.txt,0,0,3.0,0.25
defence,./articles/defence/data14.txt,2.25,3.5,0,0
defence,./articles/defence/data15.txt,0.25,3.0,1.25,0
defence,./articles/defence/data16.txt,0,0,1.5,16.75
defence,./articles/defence/data17.txt,8.5,4.25,2.25,2.5
defence,./articles/defence/data18.txt,0,0,1.5,2.0
defence,./articles/defence/data19.txt,2.25,1.0,2.75,1.0
defence,./articles/defence/data2.txt,0,0,0,0
defence,./articles/defence/data3.txt,0,0.25,0,1.0
defence,./articles/defence/data4.txt,1.75,2.0,1.0,1.0
defence,./articles/defence/data5.txt,0,0,6.75,0
defence,./articles/defence/data6.txt,0,1.0,1.0,0
defence,./articles/defence/data7.txt,0.25,1.0,6.0,3.75
defence,./articles/defence/data8.txt,0,8.0,0,3.25
defence,./articles/defence/data9.txt,0,2.5,0,0
finance,./articles/finance/data0.txt,0,0,0,0
finance,./articles/finance/data1.txt,0,0,6.0,0
finance,./articles/finance/data10.txt,1.0,0,4.5,0
finance,./articles/finance/data11.txt,0,1.0,2.0,2.25
finance,./articles/finance/data12.txt,0,0,1.0,0
finance,./articles/finance/data13.txt,0,0,1.0,0
finance,./articles/finance/data14.txt,0.25,0,9.0,0
finance,./articles/finance/data15.txt,0,0,0,0
finance,./articles/finance/data16.txt,0,0,8.25,0.25
finance,./articles/finance/data17.txt,0,0,4.0,0.75
finance,./articles/finance/data18.txt,0,0,0,0
finance,./articles/finance/data19.txt,0,0,19.0,4.5
finance,./articles/finance/data2.txt,0,0,18.5,0
finance,./articles/finance/data3.txt,0,0,0,0
finance,./articles/finance/data4.txt,0,0,0,0
